bname,bcode,room,bed_1,bed_2,bed_3,bed_4
Aberdeen and Shire,S33000001,74.79,97.81,136.93,172.6,230.14
Argyll and Bute,S33000002,72.74,86.3,115.07,126.58,207.12
Ayrshires,S33000003,76.99,80.55,97.81,115.07,159.95
Dumfries and Galloway,S33000004,59.84,85.15,103.56,115.03,155.34
Dundee and Angus,S33000005,69.04,84,115.07,149.59,241.64
East Dunbartonshire,S33000006,71.34,103.56,136.93,182.96,298.03
Fife,S33000007,70.19,86.3,109.32,132.33,195.62
Forth Valley,S33000008,74.12,90.9,115.07,149.59,218.63
Greater Glasgow,S33000009,80.55,113.92,149.59,172.6,322.19
Highland and Islands,S33000010,74.79,97.81,126.58,146.14,184.11
Lothian,S33000011,94.82,158.79,189.86,253.15,390.08
North Lanarkshire,S33000012,65.59,82.85,103.56,113.92,182.96
Perth and Kinross,S33000013,65.01,92.05,115.07,149.59,205.97
Renfrewshire/ Inverclyde,S33000014,67.66,80.55,103.56,126.58,230.14
Scottish Borders,S33000015,62.14,74.79,97.81,120.82,184.11
South Lanarkshire,S33000016,69.04,86.3,109.32,143.84,218.63
West Dunbartonshire,S33000017,69.04,86.3,103.56,126.58,218.63
West Lothian,S33000018,69.04,112.77,138.08,159.95,218.63
96600 Blaenau Gwent,96600,54,66.74,80.55,90.9,132.33
16 West Cheshire,16,73.25,103.56,126.58,149.59,205.97
95000 North West Wales,95000,75,80.55,103.56,120.82,149.59
95100 North Clwyd,95100,58.95,80,113.92,132.33,166.85
95300 Wrexham,95300,72.84,92.05,113.92,128.88,166.85
95400 South Gwynedd,95400,58.95,74.79,87.45,103.56,120.82
95500 North Powys,95500,52.5,67.89,90.9,109.32,136.93
95600 Ceredigion,95600,62.5,92.05,110.47,121.97,138.08
95700 Brecon and Radnor,95700,52.5,71.34,98.96,115.07,138.08
95800 Pembrokeshire,95800,60,78.25,98.96,120.82,143.84
95900 Carmarthenshire,95900,62.71,80.55,97.81,110.47,136.93
96000 Swansea,96000,62.5,103.56,113.92,120.82,165.7
96100 Neath Port Talbot ,96100,62.5,79.4,95,103.56,120.82
96200 Bridgend,96200,58.68,89.75,109.32,115.07,155.34
96300 Taff Rhondda,96300,54,75,92.05,98.96,136.93
96400 Merthyr Cynon,96400,54,77.1,86.3,97.81,149.59
96500 Caerphilly,96500,75.95,79.4,103.56,108.16,138.08
96700 Torfaen,96700,54,87.45,105.86,120.82,149.59
96800 Monmouthshire,96800,75.95,95.51,126.58,149.59,178.36
96900 Vale of Glamorgan,96900,64.44,100,126.58,138.08,195.62
97000 Cardiff,97000,75.95,79.4,103.56,108.16,138.08
97100 Newport,97100,75.95,90.9,113.92,126.58,172.6
